"Label (Grouping)","Alabama!!Total!!Estimate","Alabama!!Percent!!Estimate","Alabama!!Male!!Estimate","Alabama!!Percent Male!!Estimate","Alabama!!Female!!Estimate","Alabama!!Percent Female!!Estimate","Alaska!!Total!!Estimate","Alaska!!Percent!!Estimate","Alaska!!Male!!Estimate","Alaska!!Percent Male!!Estimate","Alaska!!Female!!Estimate","Alaska!!Percent Female!!Estimate","Arizona!!Total!!Estimate","Arizona!!Percent!!Estimate","Arizona!!Male!!Estimate","Arizona!!Percent Male!!Estimate","Arizona!!Female!!Estimate","Arizona!!Percent Female!!Estimate","Arkansas!!Total!!Estimate","Arkansas!!Percent!!Estimate","Arkansas!!Male!!Estimate","Arkansas!!Percent Male!!Estimate","Arkansas!!Female!!Estimate","Arkansas!!Percent Female!!Estimate","California!!Total!!Estimate","California!!Percent!!Estimate","California!!Male!!Estimate","California!!Percent Male!!Estimate","California!!Female!!Estimate","California!!Percent Female!!Estimate","Colorado!!Total!!Estimate","Colorado!!Percent!!Estimate","Colorado!!Male!!Estimate","Colorado!!Percent Male!!Estimate","Colorado!!Female!!Estimate","Colorado!!Percent Female!!Estimate","Connecticut!!Total!!Estimate","Connecticut!!Percent!!Estimate","Connecticut!!Male!!Estimate","Connecticut!!Percent Male!!Estimate","Connecticut!!Female!!Estimate","Connecticut!!Percent Female!!Estimate","Delaware!!Total!!Estimate","Delaware!!Percent!!Estimate","Delaware!!Male!!Estimate","Delaware!!Percent Male!!Estimate","Delaware!!Female!!Estimate","Delaware!!Percent Female!!Estimate","District of Columbia!!Total!!Estimate","District of Columbia!!Percent!!Estimate","District of Columbia!!Male!!Estimate","District of Columbia!!Percent Male!!Estimate","District of Columbia!!Female!!Estimate","District of Columbia!!Percent Female!!Estimate","Florida!!Total!!Estimate","Florida!!Percent!!Estimate","Florida!!Male!!Estimate","Florida!!Percent Male!!Estimate","Florida!!Female!!Estimate","Florida!!Percent Female!!Estimate","Georgia!!Total!!Estimate","Georgia!!Percent!!Estimate","Georgia!!Male!!Estimate","Georgia!!Percent Male!!Estimate","Georgia!!Female!!Estimate","Georgia!!Percent Female!!Estimate","Hawaii!!Total!!Estimate","Hawaii!!Percent!!Estimate","Hawaii!!Male!!Estimate","Hawaii!!Percent Male!!Estimate","Hawaii!!Female!!Estimate","Hawaii!!Percent Female!!Estimate","Idaho!!Total!!Estimate","Idaho!!Percent!!Estimate","Idaho!!Male!!Estimate","Idaho!!Percent Male!!Estimate","Idaho!!Female!!Estimate","Idaho!!Percent Female!!Estimate","Illinois!!Total!!Estimate","Illinois!!Percent!!Estimate","Illinois!!Male!!Estimate","Illinois!!Percent Male!!Estimate","Illinois!!Female!!Estimate","Illinois!!Percent Female!!Estimate","Indiana!!Total!!Estimate","Indiana!!Percent!!Estimate","Indiana!!Male!!Estimate","Indiana!!Percent Male!!Estimate","Indiana!!Female!!Estimate","Indiana!!Percent Female!!Estimate","Iowa!!Total!!Estimate","Iowa!!Percent!!Estimate","Iowa!!Male!!Estimate","Iowa!!Percent Male!!Estimate","Iowa!!Female!!Estimate","Iowa!!Percent Female!!Estimate","Kansas!!Total!!Estimate","Kansas!!Percent!!Estimate","Kansas!!Male!!Estimate","Kansas!!Percent Male!!Estimate","Kansas!!Female!!Estimate","Kansas!!Percent Female!!Estimate","Kentucky!!Total!!Estimate","Kentucky!!Percent!!Estimate","Kentucky!!Male!!Estimate","Kentucky!!Percent Male!!Estimate","Kentucky!!Female!!Estimate","Kentucky!!Percent Female!!Estimate","Louisiana!!Total!!Estimate","Louisiana!!Percent!!Estimate","Louisiana!!Male!!Estimate","Louisiana!!Percent Male!!Estimate","Louisiana!!Female!!Estimate","Louisiana!!Percent Female!!Estimate","Maine!!Total!!Estimate","Maine!!Percent!!Estimate","Maine!!Male!!Estimate","Maine!!Percent Male!!Estimate","Maine!!Female!!Estimate","Maine!!Percent Female!!Estimate","Maryland!!Total!!Estimate","Maryland!!Percent!!Estimate","Maryland!!Male!!Estimate","Maryland!!Percent Male!!Estimate","Maryland!!Female!!Estimate","Maryland!!Percent Female!!Estimate","Massachusetts!!Total!!Estimate","Massachusetts!!Percent!!Estimate","Massachusetts!!Male!!Estimate","Massachusetts!!Percent Male!!Estimate","Massachusetts!!Female!!Estimate","Massachusetts!!Percent Female!!Estimate","Michigan!!Total!!Estimate","Michigan!!Percent!!Estimate","Michigan!!Male!!Estimate","Michigan!!Percent Male!!Estimate","Michigan!!Female!!Estimate","Michigan!!Percent Female!!Estimate","Minnesota!!Total!!Estimate","Minnesota!!Percent!!Estimate","Minnesota!!Male!!Estimate","Minnesota!!Percent Male!!Estimate","Minnesota!!Female!!Estimate","Minnesota!!Percent Female!!Estimate","Mississippi!!Total!!Estimate","Mississippi!!Percent!!Estimate","Mississippi!!Male!!Estimate","Mississippi!!Percent Male!!Estimate","Mississippi!!Female!!Estimate","Mississippi!!Percent Female!!Estimate","Missouri!!Total!!Estimate","Missouri!!Percent!!Estimate","Missouri!!Male!!Estimate","Missouri!!Percent Male!!Estimate","Missouri!!Female!!Estimate","Missouri!!Percent Female!!Estimate","Montana!!Total!!Estimate","Montana!!Percent!!Estimate","Montana!!Male!!Estimate","Montana!!Percent Male!!Estimate","Montana!!Female!!Estimate","Montana!!Percent Female!!Estimate","Nebraska!!Total!!Estimate","Nebraska!!Percent!!Estimate","Nebraska!!Male!!Estimate","Nebraska!!Percent Male!!Estimate","Nebraska!!Female!!Estimate","Nebraska!!Percent Female!!Estimate","Nevada!!Total!!Estimate","Nevada!!Percent!!Estimate","Nevada!!Male!!Estimate","Nevada!!Percent Male!!Estimate","Nevada!!Female!!Estimate","Nevada!!Percent Female!!Estimate","New Hampshire!!Total!!Estimate","New Hampshire!!Percent!!Estimate","New Hampshire!!Male!!Estimate","New Hampshire!!Percent Male!!Estimate","New Hampshire!!Female!!Estimate","New Hampshire!!Percent Female!!Estimate","New Jersey!!Total!!Estimate","New Jersey!!Percent!!Estimate","New Jersey!!Male!!Estimate","New Jersey!!Percent Male!!Estimate","New Jersey!!Female!!Estimate","New Jersey!!Percent Female!!Estimate","New Mexico!!Total!!Estimate","New Mexico!!Percent!!Estimate","New Mexico!!Male!!Estimate","New Mexico!!Percent Male!!Estimate","New Mexico!!Female!!Estimate","New Mexico!!Percent Female!!Estimate","New York!!Total!!Estimate","New York!!Percent!!Estimate","New York!!Male!!Estimate","New York!!Percent Male!!Estimate","New York!!Female!!Estimate","New York!!Percent Female!!Estimate","North Carolina!!Total!!Estimate","North Carolina!!Percent!!Estimate","North Carolina!!Male!!Estimate","North Carolina!!Percent Male!!Estimate","North Carolina!!Female!!Estimate","North Carolina!!Percent Female!!Estimate","North Dakota!!Total!!Estimate","North Dakota!!Percent!!Estimate","North Dakota!!Male!!Estimate","North Dakota!!Percent Male!!Estimate","North Dakota!!Female!!Estimate","North Dakota!!Percent Female!!Estimate","Ohio!!Total!!Estimate","Ohio!!Percent!!Estimate","Ohio!!Male!!Estimate","Ohio!!Percent Male!!Estimate","Ohio!!Female!!Estimate","Ohio!!Percent Female!!Estimate","Oklahoma!!Total!!Estimate","Oklahoma!!Percent!!Estimate","Oklahoma!!Male!!Estimate","Oklahoma!!Percent Male!!Estimate","Oklahoma!!Female!!Estimate","Oklahoma!!Percent Female!!Estimate","Oregon!!Total!!Estimate","Oregon!!Percent!!Estimate","Oregon!!Male!!Estimate","Oregon!!Percent Male!!Estimate","Oregon!!Female!!Estimate","Oregon!!Percent Female!!Estimate","Pennsylvania!!Total!!Estimate","Pennsylvania!!Percent!!Estimate","Pennsylvania!!Male!!Estimate","Pennsylvania!!Percent Male!!Estimate","Pennsylvania!!Female!!Estimate","Pennsylvania!!Percent Female!!Estimate","Rhode Island!!Total!!Estimate","Rhode Island!!Percent!!Estimate","Rhode Island!!Male!!Estimate","Rhode Island!!Percent Male!!Estimate","Rhode Island!!Female!!Estimate","Rhode Island!!Percent Female!!Estimate","South Carolina!!Total!!Estimate","South Carolina!!Percent!!Estimate","South Carolina!!Male!!Estimate","South Carolina!!Percent Male!!Estimate","South Carolina!!Female!!Estimate","South Carolina!!Percent Female!!Estimate","South Dakota!!Total!!Estimate","South Dakota!!Percent!!Estimate","South Dakota!!Male!!Estimate","South Dakota!!Percent Male!!Estimate","South Dakota!!Female!!Estimate","South Dakota!!Percent Female!!Estimate","Tennessee!!Total!!Estimate","Tennessee!!Percent!!Estimate","Tennessee!!Male!!Estimate","Tennessee!!Percent Male!!Estimate","Tennessee!!Female!!Estimate","Tennessee!!Percent Female!!Estimate","Texas!!Total!!Estimate","Texas!!Percent!!Estimate","Texas!!Male!!Estimate","Texas!!Percent Male!!Estimate","Texas!!Female!!Estimate","Texas!!Percent Female!!Estimate","Utah!!Total!!Estimate","Utah!!Percent!!Estimate","Utah!!Male!!Estimate","Utah!!Percent Male!!Estimate","Utah!!Female!!Estimate","Utah!!Percent Female!!Estimate","Vermont!!Total!!Estimate","Vermont!!Percent!!Estimate","Vermont!!Male!!Estimate","Vermont!!Percent Male!!Estimate","Vermont!!Female!!Estimate","Vermont!!Percent Female!!Estimate","Virginia!!Total!!Estimate","Virginia!!Percent!!Estimate","Virginia!!Male!!Estimate","Virginia!!Percent Male!!Estimate","Virginia!!Female!!Estimate","Virginia!!Percent Female!!Estimate","Washington!!Total!!Estimate","Washington!!Percent!!Estimate","Washington!!Male!!Estimate","Washington!!Percent Male!!Estimate","Washington!!Female!!Estimate","Washington!!Percent Female!!Estimate","West Virginia!!Total!!Estimate","West Virginia!!Percent!!Estimate","West Virginia!!Male!!Estimate","West Virginia!!Percent Male!!Estimate","West Virginia!!Female!!Estimate","West Virginia!!Percent Female!!Estimate","Wisconsin!!Total!!Estimate","Wisconsin!!Percent!!Estimate","Wisconsin!!Male!!Estimate","Wisconsin!!Percent Male!!Estimate","Wisconsin!!Female!!Estimate","Wisconsin!!Percent Female!!Estimate","Wyoming!!Total!!Estimate","Wyoming!!Percent!!Estimate","Wyoming!!Male!!Estimate","Wyoming!!Percent Male!!Estimate","Wyoming!!Female!!Estimate","Wyoming!!Percent Female!!Estimate","Puerto Rico!!Total!!Estimate","Puerto Rico!!Percent!!Estimate","Puerto Rico!!Male!!Estimate","Puerto Rico!!Percent Male!!Estimate","Puerto Rico!!Female!!Estimate","Puerto Rico!!Percent Female!!Estimate","United States!!Total!!Estimate","United States!!Percent!!Estimate","United States!!Male!!Estimate","United States!!Percent Male!!Estimate","United States!!Female!!Estimate","United States!!Percent Female!!Estimate"
"Population 16 years and over with earnings","2,369,607","2,369,607","1,234,815","1,234,815","1,134,792","1,134,792","403,168","403,168","224,873","224,873","178,295","178,295","3,660,483","3,660,483","1,952,683","1,952,683","1,707,800","1,707,800","1,463,459","1,463,459","762,694","762,694","700,765","700,765","20,742,427","20,742,427","11,168,898","11,168,898","9,573,529","9,573,529","3,342,819","3,342,819","1,796,569","1,796,569","1,546,250","1,546,250","2,006,182","2,006,182","1,032,728","1,032,728","973,454","973,454","516,435","516,435","261,502","261,502","254,933","254,933","430,142","430,142","204,309","204,309","225,833","225,833","10,777,278","10,777,278","5,610,576","5,610,576","5,166,702","5,166,702","5,495,781","5,495,781","2,827,170","2,827,170","2,668,611","2,668,611","769,472","769,472","404,384","404,384","365,088","365,088","944,093","944,093","510,393","510,393","433,700","433,700","6,839,352","6,839,352","3,548,885","3,548,885","3,290,467","3,290,467","3,596,206","3,596,206","1,879,571","1,879,571","1,716,635","1,716,635","1,770,875","1,770,875","927,228","927,228","843,647","843,647","1,613,821","1,613,821","853,194","853,194","760,627","760,627","2,222,836","2,222,836","1,151,576","1,151,576","1,071,260","1,071,260","2,251,396","2,251,396","1,151,035","1,151,035","1,100,361","1,100,361","754,324","754,324","386,835","386,835","367,489","367,489","3,372,619","3,372,619","1,712,600","1,712,600","1,660,019","1,660,019","4,034,423","4,034,423","2,052,468","2,052,468","1,981,955","1,981,955","5,238,216","5,238,216","2,733,979","2,733,979","2,504,237","2,504,237","3,280,148","3,280,148","1,703,059","1,703,059","1,577,089","1,577,089","1,386,225","1,386,225","705,835","705,835","680,390","680,390","3,226,506","3,226,506","1,653,342","1,653,342","1,573,164","1,573,164","587,976","587,976","311,956","311,956","276,020","276,020","1,107,588","1,107,588","587,833","587,833","519,755","519,755","1,606,778","1,606,778","864,654","864,654","742,124","742,124","805,006","805,006","421,005","421,005","384,001","384,001","4,871,972","4,871,972","2,546,480","2,546,480","2,325,492","2,325,492","1,024,001","1,024,001","540,963","540,963","483,038","483,038","10,429,826","10,429,826","5,336,031","5,336,031","5,093,795","5,093,795","5,475,083","5,475,083","2,832,460","2,832,460","2,642,623","2,642,623","451,603","451,603","244,869","244,869","206,734","206,734","6,255,420","6,255,420","3,237,972","3,237,972","3,017,448","3,017,448","1,987,964","1,987,964","1,055,250","1,055,250","932,714","932,714","2,270,459","2,270,459","1,185,614","1,185,614","1,084,845","1,084,845","6,908,740","6,908,740","3,592,335","3,592,335","3,316,405","3,316,405","601,164","601,164","305,005","305,005","296,159","296,159","2,619,697","2,619,697","1,343,985","1,343,985","1,275,712","1,275,712","502,103","502,103","266,229","266,229","235,874","235,874","3,527,345","3,527,345","1,820,209","1,820,209","1,707,136","1,707,136","15,074,554","15,074,554","8,151,031","8,151,031","6,923,523","6,923,523","1,746,464","1,746,464","950,095","950,095","796,369","796,369","368,491","368,491","189,252","189,252","179,239","179,239","4,728,857","4,728,857","2,452,011","2,452,011","2,276,846","2,276,846","4,180,920","4,180,920","2,257,697","2,257,697","1,923,223","1,923,223","834,764","834,764","439,231","439,231","395,533","395,533","3,284,212","3,284,212","1,703,534","1,703,534","1,580,678","1,580,678","320,482","320,482","172,726","172,726","147,756","147,756","1,127,822","1,127,822","600,870","600,870","526,952","526,952","174,079,762","174,079,762","91,259,628","91,259,628","82,820,134","82,820,134"
"    Median earnings (dollars)","31,962","(X)","40,190","(X)","25,958","(X)","40,334","(X)","46,001","(X)","34,950","(X)","34,397","(X)","38,996","(X)","30,308","(X)","30,818","(X)","35,650","(X)","26,457","(X)","39,549","(X)","44,242","(X)","32,406","(X)","40,646","(X)","48,082","(X)","32,371","(X)","42,196","(X)","50,790","(X)","36,085","(X)","37,430","(X)","42,673","(X)","32,229","(X)","61,960","(X)","69,852","(X)","56,071","(X)","31,876","(X)","36,280","(X)","28,958","(X)","35,019","(X)","40,395","(X)","30,412","(X)","40,240","(X)","44,411","(X)","36,077","(X)","31,111","(X)","37,742","(X)","24,562","(X)","39,055","(X)","46,333","(X)","31,736","(X)","33,756","(X)","41,268","(X)","27,480","(X)","35,837","(X)","42,262","(X)","30,059","(X)","35,266","(X)","41,524","(X)","27,519","(X)","32,189","(X)","38,545","(X)","27,281","(X)","32,102","(X)","41,101","(X)","26,538","(X)","35,231","(X)","40,678","(X)","30,423","(X)","45,891","(X)","51,361","(X)","40,552","(X)","45,737","(X)","52,201","(X)","38,781","(X)","33,328","(X)","41,137","(X)","27,339","(X)","40,977","(X)","47,704","(X)","34,418","(X)","29,341","(X)","34,908","(X)","24,972","(X)","34,558","(X)","40,522","(X)","29,965","(X)","31,313","(X)","37,976","(X)","25,500","(X)","36,077","(X)","41,536","(X)","30,661","(X)","35,526","(X)","39,335","(X)","31,354","(X)","40,984","(X)","48,693","(X)","33,514","(X)","45,513","(X)","52,345","(X)","37,256","(X)","30,276","(X)","35,175","(X)","25,617","(X)","41,492","(X)","47,239","(X)","36,555","(X)","33,205","(X)","38,228","(X)","29,690","(X)","37,398","(X)","45,899","(X)","30,808","(X)","34,852","(X)","41,358","(X)","28,819","(X)","32,323","(X)","40,259","(X)","26,914","(X)","35,643","(X)","41,243","(X)","30,688","(X)","37,000","(X)","44,105","(X)","30,813","(X)","39,145","(X)","45,787","(X)","34,812","(X)","32,373","(X)","39,893","(X)","27,579","(X)","32,908","(X)","40,152","(X)","28,766","(X)","32,604","(X)","39,010","(X)","28,699","(X)","35,329","(X)","41,239","(X)","29,029","(X)","33,396","(X)","44,749","(X)","25,596","(X)","35,474","(X)","40,185","(X)","31,360","(X)","40,405","(X)","46,552","(X)","33,628","(X)","41,735","(X)","50,447","(X)","34,172","(X)","30,970","(X)","37,783","(X)","25,714","(X)","37,044","(X)","43,188","(X)","31,240","(X)","34,780","(X)","46,506","(X)","26,594","(X)","17,101","(X)","17,117","(X)","17,076","(X)","36,519","(X)","42,101","(X)","30,944","(X)"
"    FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS","1,626,970","1,626,970","917,533","917,533","709,437","709,437","245,026","245,026","146,178","146,178","98,848","98,848","2,408,971","2,408,971","1,389,301","1,389,301","1,019,670","1,019,670","998,593","998,593","550,991","550,991","447,602","447,602","13,622,265","13,622,265","7,987,286","7,987,286","5,634,979","5,634,979","2,180,530","2,180,530","1,287,384","1,287,384","893,146","893,146","1,259,635","1,259,635","712,430","712,430","547,205","547,205","338,671","338,671","184,330","184,330","154,341","154,341","305,203","305,203","150,017","150,017","155,186","155,186","7,349,397","7,349,397","4,077,950","4,077,950","3,271,447","3,271,447","3,831,235","3,831,235","2,104,995","2,104,995","1,726,240","1,726,240","540,144","540,144","299,590","299,590","240,554","240,554","574,331","574,331","349,238","349,238","225,093","225,093","4,606,479","4,606,479","2,580,499","2,580,499","2,025,980","2,025,980","2,344,886","2,344,886","1,345,189","1,345,189","999,697","999,697","1,165,475","1,165,475","663,372","663,372","502,103","502,103","1,076,430","1,076,430","623,283","623,283","453,147","453,147","1,460,752","1,460,752","819,502","819,502","641,250","641,250","1,515,194","1,515,194","826,680","826,680","688,514","688,514","469,134","469,134","259,939","259,939","209,195","209,195","2,333,469","2,333,469","1,279,372","1,279,372","1,054,097","1,054,097","2,574,137","2,574,137","1,440,167","1,440,167","1,133,970","1,133,970","3,287,601","3,287,601","1,889,445","1,889,445","1,398,156","1,398,156","2,090,621","2,090,621","1,189,388","1,189,388","901,233","901,233","940,750","940,750","509,596","509,596","431,154","431,154","2,171,275","2,171,275","1,195,315","1,195,315","975,960","975,960","349,050","349,050","201,706","201,706","147,344","147,344","749,980","749,980","428,113","428,113","321,867","321,867","1,099,261","1,099,261","624,654","624,654","474,607","474,607","521,174","521,174","300,895","300,895","220,279","220,279","3,318,670","3,318,670","1,888,227","1,888,227","1,430,443","1,430,443","660,531","660,531","373,675","373,675","286,856","286,856","6,963,659","6,963,659","3,845,793","3,845,793","3,117,866","3,117,866","3,647,903","3,647,903","2,041,099","2,041,099","1,606,804","1,606,804","290,483","290,483","171,312","171,312","119,171","119,171","4,060,082","4,060,082","2,285,536","2,285,536","1,774,546","1,774,546","1,365,645","1,365,645","775,828","775,828","589,817","589,817","1,384,426","1,384,426","794,060","794,060","590,366","590,366","4,556,377","4,556,377","2,570,985","2,570,985","1,985,392","1,985,392","389,052","389,052","215,586","215,586","173,466","173,466","1,775,603","1,775,603","983,132","983,132","792,471","792,471","330,890","330,890","188,542","188,542","142,348","142,348","2,395,612","2,395,612","1,337,941","1,337,941","1,057,671","1,057,671","10,525,130","10,525,130","6,129,696","6,129,696","4,395,434","4,395,434","1,084,410","1,084,410","671,678","671,678","412,732","412,732","224,296","224,296","126,466","126,466","97,830","97,830","3,248,200","3,248,200","1,814,285","1,814,285","1,433,915","1,433,915","2,691,386","2,691,386","1,597,066","1,597,066","1,094,320","1,094,320","548,615","548,615","314,354","314,354","234,261","234,261","2,148,822","2,148,822","1,218,277","1,218,277","930,545","930,545","206,580","206,580","120,831","120,831","85,749","85,749","707,538","707,538","390,094","390,094","317,444","317,444","115,853,011","115,853,011","65,798,707","65,798,707","50,054,304","50,054,304"
